epoch,precision,recall,f1,test_precision,test_recall,test_f1
1.0,0.5382354729672059,0.3974071579848216,0.45647974055623586,0.5185930585516827,0.3739815564850331,0.4337388071637117
2.0,0.5416378338687287,0.3907664753083678,0.4535997328766482,0.5071504355629948,0.36240881361295985,0.42248937611165827
3.0,0.5314096415618714,0.4038130145572187,0.4566431031223786,0.5163235216429266,0.3800680290935688,0.435398388941069
4.0,0.5314213439818024,0.39142649029236837,0.4500735154581471,0.5134394364458483,0.3649280570117665,0.42553886594766716
5.0,0.5264719796606395,0.36618261624282444,0.43071903730946903,0.5119586273300886,0.3397973699078767,0.40693056903427555
6.0,0.5347246254377629,0.39303541144385623,0.4525643079066821,0.5089863376344895,0.37110621635512525,0.42890578669951607
7.0,0.5331017200485368,0.39106568306969686,0.45059947140030376,0.5146787437372137,0.36624626873468946,0.427146370527428
8.0,0.5370582072743092,0.3976201331876937,0.45617887546082725,0.5089059150246387,0.3744670538154409,0.4307748661204024
9.0,0.5351087344276636,0.3966114849508412,0.45518410730067005,0.5151664580160382,0.3684955425117689,0.4293697096459451
10.0,0.5346925095827235,0.40372642829764943,0.4593194581873744,0.522630123215343,0.384479754931655,0.442341353972873
11.0,0.5284318638041392,0.3954679388026553,0.45202185674164197,0.5192051580936814,0.3749759658910178,0.4349512048641132
12.0,0.5318480265736156,0.40283257187911864,0.45802226469971635,0.510631825200539,0.37828325161587734,0.4341401327208375
13.0,0.5353956675177708,0.3912274448206595,0.450804498790368,0.512302184736179,0.3667129490685475,0.4264352309103162
14.0,0.5329266961184309,0.39703232207354733,0.4546567823167216,0.5068881284471706,0.3705119648532733,0.4276356964911078
15.0,0.5335523385031568,0.3994356560687834,0.45623137673453174,0.5185114537706907,0.37680052952247234,0.4359393643732809
