Precision,Recall,F1 Score,Test Precision,Test Recall,Test F1,Number of examples,Margin,Clauses,Specificity,Accumulation,Max_included_literals,,,,,,,,,,
0.956316506,0.272222145,0.418831124,0.582937532,0.04404798,0.081802535,250,50,57,20,49,3,,,,,,,,,,
0.955610168,0.241902338,0.383014163,0.694689682,0.065067853,0.118870666,250,50,57,20,49,11,,,,,,,,,,
0.930882662,0.249550236,0.388414542,0.806642748,0.056411519,0.105295345,250,50,57,20,49,19,,,,,,,,,,
0.791739583,0.460203387,0.581958925,0.767068844,0.443938941,0.562338673,250,50,99,2.5,5,3,,,,,,,,,,
0.804979623,0.390581989,0.525303583,0.796526907,0.378704563,0.513208097,250,50,99,2.5,5,11,,,,,,,,,,
0.789403393,0.373924933,0.506764613,0.754314509,0.3441834,0.472656933,250,50,99,2.5,5,19,,,,,,,,,,
0.786384179,0.481837962,0.597419001,0.671659751,0.349301025,0.459189203,250,50,99,2.5,27,3,,,,,,,,,,
0.79436016,0.486300394,0.602458667,0.705151605,0.380729758,0.494388354,250,50,99,2.5,27,11,,,,,,,,,,
0.833592144,0.455799826,0.588595625,0.753002603,0.360689619,0.487639591,250,50,99,2.5,27,19,,,,,,,,,,
0.811901394,0.492117661,0.612337445,0.64974145,0.327736311,0.435669667,250,50,99,2.5,49,3,,,,,,,,,,
0.823111044,0.477482893,0.603272566,0.658695555,0.282143078,0.39493506,250,50,99,2.5,49,11,,,,,,,,,,
0.82918072,0.471725723,0.600337378,0.717129711,0.290438004,0.413339551,250,50,99,2.5,49,19,,,,,,,,,,
0.796091848,0.084728559,0.152952953,0.671010012,0.046311423,0.086627351,250,50,99,11.25,5,3,,,,,,,,,,
0.79513326,0.113355186,0.198076771,0.700636101,0.078178619,0.140602865,250,50,99,11.25,5,11,,,,,,,,,,
0.773055682,0.111923032,0.194850529,0.672408684,0.08599212,0.152468549,250,50,99,11.25,5,19,,,,,,,,,,
0.879346214,0.246054712,0.383528708,0.606259222,0.097107102,0.167370274,250,50,99,11.25,27,3,,,,,,,,,,
0.903826598,0.240447035,0.377967165,0.687910697,0.07272455,0.131527475,250,50,99,11.25,27,11,,,,,,,,,,
0.897852274,0.227223561,0.360969465,0.695114843,0.087390267,0.154864232,250,50,99,11.25,27,19,,,,,,,,,,
0.91958186,0.321955389,0.474329057,0.641196823,0.137619954,0.226115507,250,50,99,11.25,49,3,,,,,,,,,,
0.912710603,0.310520534,0.46049749,0.7017374,0.097358086,0.170934049,250,50,99,11.25,49,11,,,,,,,,,,
0.937609663,0.30829121,0.461068522,0.746290191,0.119639293,0.206089408,250,50,99,11.25,49,19,,,,,,,,,,
0.716903646,0.048513677,0.089976067,0.602995524,0.018118635,0.035165856,250,50,99,20,5,3,,,,,,,,,,
0.774592899,0.0708364,0.128765979,0.489101139,0.039395422,0.07285195,250,50,99,20,5,11,,,,,,,,,,
0.798718945,0.086405601,0.155236606,0.665863398,0.049295578,0.091788409,250,50,99,20,5,19,,,,,,,,,,
0.907890087,0.170390323,0.284097541,0.756056254,0.034935242,0.066766734,250,50,99,20,27,3,,,,,,,,,,
0.914034961,0.188453242,0.310241888,0.657030738,0.056276682,0.103600051,250,50,99,20,27,11,,,,,,,,,,
0.907588392,0.164405637,0.275330093,0.723776825,0.045230034,0.085119665,250,50,99,20,27,19,,,,,,,,,,
0.903363643,0.309924269,0.458988676,0.619737976,0.101508226,0.174290818,250,50,99,20,49,3,,,,,,,,,,
0.927282135,0.248603121,0.389348073,0.580028305,0.052699866,0.096490019,250,50,99,20,49,11,,,,,,,,,,
0.952387215,0.227080204,0.364050143,0.769206388,0.051933584,0.097232635,250,50,99,20,49,19,,,,,,,,,,
0.823679292,0.644629318,0.723212126,0.817271733,0.646789416,0.721690967,250,275,15,2.5,5,3,,,,,,,,,,
0.865692674,0.484786957,0.619674123,0.822949561,0.437771361,0.570735155,250,275,15,2.5,5,11,,,,,,,,,,
0.867219509,0.509807569,0.64071058,0.842460325,0.521940576,0.644134074,250,275,15,2.5,5,19,,,,,,,,,,
0.826296322,0.641273664,0.721952141,0.627567554,0.445318738,0.519563841,250,275,15,2.5,27,3,,,,,,,,,,
0.779850689,0.512335262,0.61741232,0.72182278,0.332640892,0.455237252,250,275,15,2.5,27,11,,,,,,,,,,
0.8606128,0.499884379,0.630008903,0.751727746,0.416839586,0.535877433,250,275,15,2.5,27,19,,,,,,,,,,
0.889355315,0.671155109,0.763330303,0.657857622,0.335216781,0.444121205,250,275,15,2.5,49,3,,,,,,,,,,
0.869166092,0.542226202,0.667565865,0.737417076,0.343615811,0.464671732,250,275,15,2.5,49,11,,,,,,,,,,
0.84743358,0.514188592,0.635951654,0.62652819,0.22395091,0.329662689,250,275,15,2.5,49,19,,,,,,,,,,
0.780073124,0.116042426,0.195245055,0.50073151,0.054086438,0.09731731,250,275,15,11.25,5,3,,,,,,,,,,
0.72092378,0.139586583,0.228984141,0.532167662,0.066754056,0.117926511,250,275,15,11.25,5,11,,,,,,,,,,
0.807963916,0.145787404,0.244668202,0.64091574,0.084658926,0.149450387,250,275,15,11.25,5,19,,,,,,,,,,
0.950870866,0.310911473,0.463372651,0.783976055,0.142603452,0.240919709,250,275,15,11.25,27,3,,,,,,,,,,
