Precision,Recall,F1 Score,Test Precision,Test Recall,Test F1,Number of examples,Margin,Clauses,Specificity,Accumulation,Max_included_literals
0.7745775450199375,0.5701179773547201,0.6475619995932341,0.7642367333530465,0.542351328549357,0.621146524419686,250,50,15,2.5,5,3
0.6341084281407366,0.3594148356906105,0.44974820688789147,0.6427727703090089,0.37453152702324155,0.46582271639274525,250,50,15,2.5,5,11
0.678887859158525,0.4255976736765794,0.5170870532239797,0.6969591961422343,0.4275187104792115,0.5231885937728696,250,50,15,2.5,5,19
0.6565459421060575,0.44211792124276017,0.5251272436519482,0.5888597706547607,0.33234154641348485,0.42426058835746877,250,50,15,2.5,27,3
0.6598535452302898,0.3528927727760187,0.45474651056033655,0.5424765232927456,0.2873273480766388,0.3741305524659307,250,50,15,2.5,27,11
0.7460763198349393,0.6424695826423572,0.6903289511193621,0.6954519487775315,0.5502242238141508,0.6140806403505209,250,50,15,2.5,27,19
0.6403523995839455,0.5076516941338883,0.5654549243402559,0.511772491484708,0.39728984648527327,0.445835930786115,250,50,15,2.5,49,3
0.6830230185643013,0.526178453371462,0.5942918875950643,0.4804218892705935,0.323031037889149,0.3857898252877651,250,50,15,2.5,49,11
0.7374446782506682,0.48525744674174337,0.5840471738356979,0.6186549441918943,0.3557177656178523,0.45057720090862824,250,50,15,2.5,49,19
0.6462716695396916,0.06905749423493181,0.12032907178080432,0.490989342183105,0.0990592918672097,,250,50,15,11.25,5,3
0.5946018238766768,0.003827865082906099,0.007312488122291103,0.24862511226147593,0.0017510872864757792,0.0034758738217197964,250,50,15,11.25,5,11
0.5843995793938448,0.049536069629358775,0.09021523238834171,0.6598538921087894,0.05092296849724493,,250,50,15,11.25,5,19
0.7924580936662934,0.32254902184665973,0.4545495565289634,0.7377832905554492,0.19729041555516222,0.30694746516446475,250,50,15,11.25,27,3
0.828972396637338,0.21359953417138194,0.3391788817710554,0.49276917578409063,0.0824369001233018,0.1392192531308844,250,50,15,11.25,27,11
0.6941766074500645,0.18775594883172878,0.29060334453648706,0.3832548022123283,0.06469919405900976,0.10975799323855222,250,50,15,11.25,27,19
0.7647680919086273,0.27900631253559005,0.40227193218928453,0.5139404468327556,0.1209094691951651,0.19468765749661293,250,50,15,11.25,49,3
0.8530985223946627,0.49997801577437007,0.6266478129737393,0.7749627196410096,0.31433420177458987,0.44234588590708124,250,50,15,11.25,49,11
0.7531977229480837,0.22803890107820354,0.34832952252809857,0.410430614445201,0.09100801144772043,0.14766745564686326,250,50,15,11.25,49,19
0.5051802553370215,0.005687482459490046,0.011231159390056856,1.0,0.0007064155074684252,0.0014113662432533869,250,50,15,20.0,5,3
0.3044522737414557,0.007112547388981754,,0.4217734511565055,0.0062430730444753635,,250,50,15,20.0,5,11
0.7374615510089658,0.057807801130233476,0.10571768672198462,0.8956019737837922,0.033881467416139004,0.0647207008803331,250,50,15,20.0,5,19
0.8679852336547992,0.35716125367019536,0.5044325658966583,0.6354318067420508,0.22222717669586717,0.32710275523531207,250,50,15,20.0,27,3
0.7482231529182031,0.2949638812464517,0.39869192095604206,0.715142315127318,0.16019266398428275,,250,50,15,20.0,27,11
0.9474363129352672,0.25508567627490425,0.3948869226874081,0.8551365490674534,0.17509398731211256,0.28447365403962205,250,50,15,20.0,27,19
0.8555359899639942,0.1884735612145387,0.30589651812790736,0.362452320009298,0.06553566905350298,0.1102098666721166,250,50,15,20.0,49,3
0.646195924657167,0.22306384773389515,0.32899541123191034,0.6462816263068197,0.07517802026694263,0.1317446784150712,250,50,15,20.0,49,11
0.871214782486292,0.26730728110090857,0.39572502779573837,0.6269453821578661,0.16736079370249846,0.257381900125728,250,50,15,20.0,49,19
0.6995893566626544,0.40020812729401745,0.5085860569170919,0.6671732415176688,0.38743869506614975,0.4896195015280837,250,50,57,2.5,5,3
0.7751917540602224,0.4124107759251256,0.5370781385007111,0.7221798743461038,0.4059174434487424,0.5183685813770889,250,50,57,2.5,5,11
0.7554600100682042,0.4564776557304127,0.5679958373375508,0.7338781596418218,0.45115634670653404,0.5577213439976562,250,50,57,2.5,5,19
0.622493161764483,0.41781862485959015,0.4994658095599643,0.5566013752970739,0.33570856800373833,0.41871309561802034,250,50,57,2.5,27,3
0.6218193372484997,0.4932258888397596,0.5495871194628795,0.5614341768551878,0.4014695730286082,0.46722738727297214,250,50,57,2.5,27,11
