Precision,Recall,F1 Score,Number of examples,Margin,Clauses,Specificity,Accumulation
0.721319312,0.276836342,0.393971879,733,200,93,14.16666667,73
0.712756238,0.185569027,0.293646077,733,200,93,20,10
0.720723147,0.166772675,0.267329721,733,200,93,20,31
0.831180159,0.287227987,0.424412694,733,200,93,20,52
0.766174652,0.237786208,0.356815632,733,200,93,20,73
0.580989308,0.399815912,0.472451127,733,200,171,2.5,10
0.583570158,0.489831564,0.532138834,733,200,171,2.5,31
0.59042465,0.502548587,0.542267536,733,200,171,2.5,52
0.580074869,0.480391058,0.525160369,733,200,171,2.5,73
0.575003033,0.210216041,0.306408084,733,200,171,8.333333333,10
0.651789384,0.276799164,0.38720623,733,200,171,8.333333333,31
0.682282223,0.277948583,0.393298961,733,200,171,8.333333333,52
0.701393769,0.311477843,0.429966089,733,200,171,8.333333333,73
0.601420381,0.130110107,0.212353087,733,200,171,14.16666667,10
0.680246282,0.229251408,0.341860954,733,200,171,14.16666667,31
0.737902795,0.282134632,0.407074778,733,200,171,14.16666667,52
0.747723317,0.259385756,0.382452424,733,200,171,14.16666667,73
0.65790749,0.137602336,0.226566031,733,200,171,20,10
0.723597416,0.217243104,0.333321535,733,200,171,20,31
0.778915212,0.234550475,0.358552237,733,200,171,20,52
0.770531773,0.249043111,0.373982892,733,200,171,20,73
0.56768386,0.374597512,0.45021484,733,200,249,2.5,10
0.573091167,0.450261685,0.503885448,733,200,249,2.5,31
0.568105959,0.487924176,0.524518138,733,200,249,2.5,52
0.570626892,0.486609128,0.524941407,733,200,249,2.5,73
0.549127356,0.177910227,0.268275146,733,200,249,8.333333333,10
0.649280463,0.268654376,0.378807067,733,200,249,8.333333333,31
0.658442214,0.288262289,0.400103524,733,200,249,8.333333333,52
0.661938527,0.299961946,0.411602775,733,200,249,8.333333333,73
0.61101874,0.141752257,0.229574072,733,200,249,14.16666667,10
0.667113776,0.209424693,0.318037522,733,200,249,14.16666667,31
0.726137635,0.252974255,0.374112654,733,200,249,14.16666667,52
0.76680307,0.282284735,0.411295376,733,200,249,14.16666667,73
0.639404095,0.134387455,0.221603935,733,200,249,20,10
0.736034428,0.194246019,0.306481896,733,200,249,20,31
0.727883841,0.204854526,0.318100138,733,200,249,20,52
0.776396532,0.245778142,0.371390619,733,200,249,20,73
0.594720327,0.430540749,0.493818446,733,350,15,2.5,10
0.601602512,0.435881058,0.504169199,733,350,15,2.5,31
0.646891686,0.494953859,0.559240932,733,350,15,2.5,52
0.61348557,0.462168905,0.5246866,733,350,15,2.5,73
0.693986084,0.295390513,0.410122358,733,350,15,8.333333333,10
0.721357806,0.370027881,0.476987191,733,350,15,8.333333333,31
0.699840241,0.271504356,0.383535622,733,350,15,8.333333333,52
0.762071197,0.280264383,0.402508036,733,350,15,8.333333333,73
0.654913752,0.196394751,0.296781288,733,350,15,14.16666667,10
0.820534403,0.287140191,0.416415178,733,350,15,14.16666667,31
0.837081019,0.356100083,,733,350,15,14.16666667,52
0.751382636,0.191250913,0.283774,733,350,15,14.16666667,73
0.720007487,0.185590665,0.289745824,733,350,15,20,10
0.667646345,0.184178844,0.280087268,733,350,15,20,31
0.702753447,0.292533879,,733,350,15,20,52
0.847011322,0.220279853,0.348823707,733,350,15,20,73
0.66246476,0.463603297,0.545065212,733,350,93,2.5,10
0.594841214,0.511349952,0.549062515,733,350,93,2.5,31
0.590877184,0.515923834,0.550485527,733,350,93,2.5,52
0.581758464,0.537093219,0.558108067,733,350,93,2.5,73
0.642052733,0.317070593,0.423962898,733,350,93,8.333333333,10
0.652864128,0.276293477,0.386482425,733,350,93,8.333333333,31
0.712287705,0.29868901,0.419147976,733,350,93,8.333333333,52
0.740804933,0.391877417,0.51031419,733,350,93,8.333333333,73
0.643714876,0.186559428,0.287681803,733,350,93,14.16666667,10
0.757412047,0.268652943,0.395830227,733,350,93,14.16666667,31
0.793981056,0.304435059,0.438278123,733,350,93,14.16666667,52
0.765592857,0.284812565,0.406818572,733,350,93,14.16666667,73
0.704342389,0.170755242,0.272183104,733,350,93,20,10
0.753498227,0.202874883,0.314122094,733,350,93,20,31
0.801050747,0.256434018,0.381784431,733,350,93,20,52
0.811781371,0.280340748,0.412602944,733,350,93,20,73
0.619586967,0.430993483,0.507475159,733,350,171,2.5,10
0.584376267,0.505611165,0.541726992,733,350,171,2.5,31
0.594393059,0.500879952,0.542998935,733,350,171,2.5,52
0.57888117,0.510757064,0.542175274,733,350,171,2.5,73
0.613951106,0.214655776,0.316916867,733,350,171,8.333333333,10
0.678853546,0.280063804,0.395889458,733,350,171,8.333333333,31
0.662433292,0.277216073,0.38951958,733,350,171,8.333333333,52
0.690457442,0.33847047,0.453322155,733,350,171,8.333333333,73
0.612592974,0.137731034,0.223353084,733,350,171,14.16666667,10
0.674209587,0.211945802,0.31983317,733,350,171,14.16666667,31
0.717394646,0.250636177,0.368652002,733,350,171,14.16666667,52
0.746472578,0.269483017,0.39255974,733,350,171,14.16666667,73
0.682172156,0.162304677,0.261277637,733,350,171,20,10
0.771431003,0.193086531,0.3058724,733,350,171,20,31
0.787796553,0.242212994,0.368994174,733,350,171,20,52
0.759257579,0.263536361,0.387421944,733,350,171,20,73
0.616074493,0.437954113,0.511834066,733,350,249,2.5,10
0.593847065,0.503840542,0.544667649,733,350,249,2.5,31
0.569839823,0.497680385,0.530879156,733,350,249,2.5,52
0.578853558,0.524180353,0.549729217,733,350,249,2.5,73
0.593553875,0.203569602,0.302242659,733,350,249,8.333333333,10
0.650005156,0.265768612,0.376136076,733,350,249,8.333333333,31
0.650686357,0.268793621,0.379004701,733,350,249,8.333333333,52
0.677945571,0.306749384,0.421063973,733,350,249,8.333333333,73
0.614744012,0.155918644,0.24807481,733,350,249,14.16666667,10
0.678430285,0.209058133,0.317963918,733,350,249,14.16666667,31
0.73611111,0.254703477,0.377635561,733,350,249,14.16666667,52
0.727929289,0.275916443,0.397900697,733,350,249,14.16666667,73
0.635324559,0.127754506,0.211718445,733,350,249,20,10
0.739372197,0.181332941,0.288672867,733,350,249,20,31
0.763868714,0.215576957,0.333523962,733,350,249,20,52
0.772855072,0.222442325,0.342435832,733,350,249,20,73
0.606376429,0.488610254,0.536507656,733,500,15,2.5,10
0.636228763,0.447587367,0.522875424,733,500,15,2.5,31
0.613132251,0.472101184,0.532721155,733,500,15,2.5,52
0.551899412,0.438942928,0.487276991,733,500,15,2.5,73
0.73410008,0.256373128,0.375283578,733,500,15,8.333333333,10
