epoch,precision,recall,f1,test_precision,test_recall,test_f1
1.0,0.526617276243308,0.3072972715573659,0.3811328869077448,0.4999353427566657,0.28432428250898417,0.35864451431878636
2.0,0.5574852105080288,0.4016731293917979,0.4647712751131795,0.5141613166033261,0.34995990622264167,0.4149759340715101
3.0,0.5515724853315407,0.40949121753651935,0.46712380767103756,0.5248759473564047,0.35387362292406677,0.42078874273814765
4.0,0.5855470403836767,0.4064849416525579,0.4775126175012373,0.5497013728669689,0.3486602476996177,0.42521645310681677
5.0,0.5924353238780775,0.4079905861440138,0.48092192520180027,0.5304510036283198,0.35214015324264963,0.4217575982395224
6.0,0.5754414495041823,0.4063870359755241,0.4742450685572842,0.5522798260270424,0.36151860007042186,0.435334829103859
7.0,0.5843015972543422,0.4067271904854792,0.4761055612834607,0.5489645169828515,0.3488259294123022,0.4250024627974144
8.0,0.5978303238312836,0.4293510087080363,0.49783417086752857,0.5537294307197488,0.3755346576764972,0.44614749090230504
9.0,0.5949236445562824,0.42326309843180576,0.4921282599674718,0.5574327088632126,0.37734672075771736,0.4470856883149711
10.0,0.5736431964219564,0.4267238939665033,0.48730007780376566,0.5668791935039846,0.37281928448761814,0.44727985196698256
11.0,0.6006566882417796,0.41924478178121366,0.4919920516098902,0.5354715286019398,0.37602808661002574,0.4408782750938281
12.0,0.6030277866914586,0.4192838859085201,0.49016472984872805,0.5447202298927257,0.3807205695527665,0.44691313207583117
13.0,0.5926373834309917,0.4294361737969912,0.49475118101322463,0.5569473015280799,0.38271338576373004,0.4512639471424841
14.0,0.6090663029415107,0.42211996185190026,0.4958400202255911,0.558778126250904,0.3743184237795936,0.4470172024331884
15.0,0.6031893879369392,0.4282389541591713,0.49898464278851523,0.5587920673623943,0.3805639124787727,0.45136389197071125
