epoch,precision,recall,f1,test_precision,test_recall,test_f1
1,0.44921267837115186,0.33951571896889127,0.38479182959158004,0.47419558118614635,0.34704963782321885,0.39977865334538504
2,0.5748017790095222,0.393139535189034,0.4648693931947957,0.5032684334279022,0.346729984979291,0.40823258610678703
3,0.567946767203282,0.34139616203369194,0.4241719416548544,0.5543742696407804,0.2814127353371344,0.3717297399001998
4,0.5850746360409917,0.32964501393024226,0.41926030702118144,0.5238729321501014,0.35521316693830846,0.4220803710012718
5,0.5572943389557662,0.3752865480247388,0.44567299752090295,0.5643997817786796,0.3537068309095409,0.4322453223107168
6,0.6101768937476113,0.38913147800900794,0.470403952047564,0.5713444163436037,0.3854892745374522,0.45780312755195424
7,0.5944814824428014,0.368511883371763,0.45241189895711686,0.521890865653258,0.3926070832872341,0.4469270814169334
8,0.61976278594394,0.38215619688214375,0.47123331114846756,0.5940338261849064,0.3636507632276812,0.4503388679242125
9,0.573955713281814,0.41252127375567815,0.47856613404617965,0.5375021390746128,0.3861771198818211,0.4484538432232136
10,0.5656387391151025,0.4144636826723576,0.477644778328723,0.5443542801363795,0.4041962287006231,0.462370614506258
