epoch,precision,recall,f1,test_precision,test_recall,test_f1
1,0.47229981486217215,0.24644424199808376,0.3228482075309637,0.46377955558070444,0.2423665768776459,0.317413197230612
2,0.5217256319719341,0.3200680622528003,0.39652121476513214,0.5027228011072012,0.3542756189163462,0.414851421454558
3,0.5952684304146564,0.3235824764874339,0.41439794594210644,0.525170791569586,0.30957287020285057,0.3887549510252564
4,0.5524111705461704,0.34205553871017724,0.4213922233304427,0.5345100376833161,0.3677133994289517,0.43385011208232116
5,0.6014696865386395,0.3754074031621101,0.46133750824654285,0.5416311178844838,0.3734016478061776,0.44137999725096205
6,0.567132534369819,0.36204338126341346,0.4393942369296827,0.5044460737492461,0.3417051843580102,0.40670255557327817
7,0.6274514127279687,0.43079815106055397,0.5093620359560322,0.49759634060836666,0.40792141247462316,0.44791394943118307
8,0.596455139883645,0.41315325542652725,0.48743062713595087,0.564004047782693,0.4263159649611305,0.48483638827459724
9,0.5760711159632347,0.4143712264664801,0.4816261780143396,0.5865517397817108,0.39120116156146245,0.4689578926258838
10,0.5838341344669755,0.3787176817664954,0.45846082665794674,0.5945204015750913,0.4143265673997127,0.4855100207349984
