epoch,precision,recall,f1
1,0.7494001805033759,0.4178394268826879,0.5359594674309628
2,0.7738375515202451,0.4713235723349606,0.5855385684284014
3,0.7828558310902147,0.5199339806239455,0.6246000956724206
4,0.7848833656107115,0.5358666768317258,0.636519095855842
5,0.7851532096930944,0.5327968900479686,0.6344724350177862
6,0.7764453847424961,0.5389368779159934,0.6357643052369857
7,0.7580947022636322,0.5683848550477381,0.6493836563351068
8,0.7809347171595356,0.532878899662365,0.6331406796372361
9,0.7822183680642778,0.531797197479591,0.6327251340476358
10,0.7803584164481647,0.5541955589081259,0.6477695821350843
11,0.7400654583773711,0.6164237462063658,0.6714926384802988
12,0.7648697926827859,0.5443430243854224,0.6356049379231471
13,0.7650692175713993,0.5613215844497459,0.6470907695914996
14,0.763732600048137,0.5516478351852494,0.6402995668318321
15,0.7588984760240649,0.5719130706478455,0.6520491142934353
16,0.753855386078542,0.5669604413936296,0.6469967741552457
17,0.7443743175937918,0.5443580984007655,0.6284861430428865
18,0.7434699962291597,0.5759305520736596,0.6486023209024402
19,0.7569511488203075,0.5405877384581272,0.6305248044943927
20,0.7467670592929605,0.5577562490586948,0.6378626004291647
