epochs,f1 score,precision,recall
1,0.35495681161388404,0.7076079077380818,0.23689517928027543
2,0.45026059727665524,0.7530484262783768,0.32113694950207716
3,0.46218689767559146,0.7647514523354193,0.3311653708285332
4,0.4811620336755937,0.7914364555268223,0.3456525503066401
